review_score,review_content
3.5,whether audienc get behind lightn thief hard predict overal entertain introduct promis new world consum shadow potter big break free
3.5,perci jackson great movi good one trot kernel greek mytholog like mani disney channel refer
3,cram dragon set destroy fight thing explod columbu squeez well mean paus break friendship absent father befor swiftli move next pyrotechn display
4,thi action pack fantasi adventur base rick riordan hit perci jackson olympian seri book great fun deserv find audienc teen bereft ani harri potter magic
2,chri columbu return hi comfort zone thi mirthless episod fantasi saga base young reader book seri rick riordan
3,best thing say chri columbu adapt incap destroy whatev magic wonder book ha kept kid come back
3.5,perci jackson may harri potter good kid realli enjoy parent happi moviethey bring famili friendli
2,although standard allegor base mythic quest movi duti cover obviou similar perci jackson harri potter movi inevit make feel somewhat secondhand
3,even familiar first book rick riordan popular fantasi seri enjoy chri columbu energet adapt
2,thi gener filmmak banal simpl mind simplif overwhelmingli complex book
3,attempt steal harri potter thunder also stand well made larg scale adventur work well enough entertain teen hope strike
3,get mani thing right goe astray kind wish tri first place
2,disappear lightn simpli interest perci jackson olympian sound like 70 funk band kid seri
3,greek god premis let filmmak indulg visual whizzi sequenc keep thi rather lightweight action movi entertain
3,enjoy nice pace famili adventur likeabl charact strong central premis decent set piec though plot littl hazi place humour alway work
2.5,lightn thief crass ineptitud lost potenti columbu infantil ani charact depth use leftov harri potter special effect amus onli smallest pantheon
1,sadli worthi dump cinemat boneyard wintri mid februari
2.5,columbu know hi way around thi kind materi even special effect look like came deep discount
2,scari younger fan popular book
3,pleasant surpris deftli stori translat myth classic idiom modern one without lose classic flavor
3.5,great fun whole famili introduc ani young reader home book much better
2,sorri mr jackson harri potter
3,thi kid movi parent either get silli suspens spirit play rummikub iphon
3,end enerv feel deja vu
3,appar potter may last worthi successor
2,moment inspir silli save thi escapist adventur complet dull
1.5,dull scattershot affair owe much x men greek mytholog never seem slow enough make ani sen whatsoev
2.5,director columbu never quit get comfort juggl film myriad charact grandios stale cgi effect pg friendli battl scene speed headlong endless plot point rather take time make ani matter
3,bit hard see quit perci jackson lighten thief market lie adult juvenil juvenil adult
1,mayb age eight 12 except dim wit may notic thi tenth rate rip harri potter greek mytholog take place magic
4,technic wizardri spectacular stori taut paci consist invent
4,film rous blend special effect scari child age seven abov spend entir movi hide behind finger
3,chri columbu wa safe choic behind len throw ani surpris columbu bring measur approach work whole deliv expect mix set set piec edg seat showdown
3,kid love adult may relish pierc brosnan centaur steve coogan hade hi person hell hollywood
1,slab market research search actual movi
4,perci jackson manag make greek mytholog fun excit sure appeal key demograph
3,bad jk rowl rest easi
3,plenti lark fast move fantasi take mytholog serious employ actor look like teenag rabbit headlight
3,suspect realli big clash titan spoiler enough action jackson make succeed term lerman likeabl lead though game support cast keep watch
2,evid potter ish unashamedli aim younger viewer make emphasi junior hero fight skill clearli misguid la vega casino sequenc dismay
3,great see greek mytholog take centr stage even peopl must say way ye way face fire breath hydra
2,digitis reign spectacular visual effect dialogu drizzl splosh
1,play laugh might work fact earnest tone digim effect stick pretti close potter model could veri long haul
2,veri american veri crass veri underwhelm
2,stori told bland episod fashion sen drama threat
1,thi ineff wooden chri columbu adapt author rick riordan best seller young teen ha screenplay defi descript
4,fantast fun know greek mytholog veri promis start franchis plea
3.5,jolli good fun rattl along perfect pace enough action setpiec spectacl keep youngster adult happi
3,sprightli harri potter clone eye candi coat intro greek mytholog
2.5,click read full review
3,perci jackson olympian lightn thief prove satisfi begin sure promis film franchis
2,kind build lot much
3.5,provid great adventur movi famili audienc
2.5,ok onli
3,tone low key veri funni yet time film also manag sardon edg
4,piec nicol holofcen three film talki urban ensembl flick elicit quiet deepli sincer smile laugh often showcas hush moment pinprick vulner
5,one best movi ever guilt guardian good sign yearn belong larger world
3,holofcen ha real sympathi charact might brittl mockabl creation anoth writer director hand gain reson
4,fine tune observ requir ideal interpret keener ha alway holofcen muse onc offer sort fulli craft portrait remind u shallow movi realli
4,new film poignant funni plea give holofcen top game
4,listen banter plea give feel like eavesdrop natur convers shape select skill storytel
3.5,keener peet hall strong empathet even weak
4.5,one best movi year far insight darkli funni multi layer charact studi class famili
3,american filmmak creat femal charact realist funni attract imperfect flat annoy doe holofcen
4,wonder movi full peopl wish knew real life like holofcen movi remark combin comedi tragedi
4,plea give prove film spectacularli reward experi provid time spent well written believ adult charact
4,recogn film unpleas peopl need unpleas long rememb make uninterest well
4,film premis yield stori insight engag touch mani matter love money
4.5,nicol holofcen frequent laud write vivid femal charact prais realli justic full game
4,touch intellig full charm wit
4.5,plea give almost perfectli render slice life buoyant wonder perform
3.5,script sharp witti never forc featur best pure dialogu hear thi year
4,explor class gener misbehav bodi holofcen dramedi refin charact studi warmth wit creat wart individu whose flaw human warm
4,indi real pedigre smart holofcen comedi manner well observ well worth watch
4,mayb thing get wors movi like thi least make easier handl
4,rare occas bold dialogu laid littl thick drag moment happen often odd excess forgiv given well rest film work
2,trifl trivial fripperi froth got plenti word describ thing matter also film plea give
4,beauti play sharpli written pleasur offer appar throwaway authent charact freight stori light heart realism
3,holofcen biggest alli nauseat self piti keener screen alter ego
4,smart touch thi must lover human drama
4,enjoy emot engag comedi drama writer director nicol holofcen featur sharpli written script likeabl charact terrif perform talent ensembl cast
4,come close justifi prais ha receiv close entir
3,director writer nicol holofcen goe back east plea give auspici move
4.5,nicol holofcen creat open end charact whose ordinari live fascin credit roll wonder whi transform get sequel
4.5,plea give friend money wrestl human desir nice thing judici avoid ridicul charact share long univers regrett
4,holofcen chart tell littl develop randomli connect live film offer wri smile smart reparte mild whimsi plaintiv poignant moment
4,spiki sophist grown comedi
4,thi small film open draw live peopl quickli forget fiction
4,spark laughter cross wire human motiv let see hazard exist tri good person
4,writer director holofcen cleverli keep emot gurgl right surfac thi engag interperson comedi smile laugh loud superior cast member get terrif charact play
3.5,stroll charact refresh break usual film exercis
4,writer director nicol holofcen seem get better everi film cruis along well trodden path neurot new yorker comedi drama grace come confid
3.5,nicol holofcen write interest femal charact movi deliv anoth dazzl role muse catherin keener plea give delight dri dramedi guilt
2,act qualiti strong especi ever reliabl catherin keener kate almost imposs care charact dilemma
3,film emot incis initi appear equal tie togeth littl neatli alreadi ha concis run time
4,smart funni realli awar write direct film like thi exactli director nicol holofcen
4,obviou entertain portray midlif crisi gone horribl awri
2,highli rate dudley moor comedi
1,oh ironi film onli deserv 1
2,wa big hit never understood whi
1,sexist juvenil pathet structur despit gamest effort actor blith willing famou non actor
4,peopl tend forget hilari movi thi realli
5,pure dynamit movi form
